_id,phone,cityid
068eb6a7-fd1d-431c-aca3-78b2f8000000,+78005553531,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000001,+78005553532,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000002,+78005553533,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000003,+78005553534,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000004,+78005553535,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000005,+78005553536,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000006,+78005553537,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000007,+78005553538,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000008,+78005553539,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000009,+78005553530,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000010,+78005553515,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000011,+78005553525,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000012,+78005553545,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000013,+78005553555,068eb6a7-fd1d-431c-aca3-78b2f8ba1053
068eb6a7-fd1d-431c-aca3-78b2f8000014,+78005553565,068eb6a7-fd1d-431c-aca3-78b2f8ba1053